rcp	gcm	ensemble	prec	tmax	tmean	tmin	hur	rsds	obs
rcp60	bcc_csm1_1	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	bcc_csm1_1_m	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	ncar_ccsm4	r1i1p1	2006-2300	2005-2300	2005-2300	2005-2300	no	no	
rcp60	ncar_ccsm4	r2i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp60	ncar_ccsm4	r3i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp60	ncar_ccsm4	r4i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp60	ncar_ccsm4	r5i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp60	ncar_ccsm4	r6i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	cesm1_cam5	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp60	cesm1_cam5	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	cesm1_cam5	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r10i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r4i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r5i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r6i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r7i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r8i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	csiro_mk3_6_0	r9i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	lasg_fgoals_s2	r1i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp60	fio_esm	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	fio_esm	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	fio_esm	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	gfdl_cm3	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	gfdl_esm2g	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	gfdl_esm2m	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	giss_e2_h	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	giss_e2_h	r1i1p2	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	giss_e2_h	r1i1p3	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	giss_e2_r	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	giss_e2_r	r1i1p2	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	giss_e2_r	r1i1p3	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	nimr_hadgem2_ao	r1i1p1	2006-2100	2006-2099	2006-2100	2006-2099	no	no	
rcp60	mohc_hadgem2_es	r1i1p1	2005-2099	2005-2099	2005-2099	2005-2099	no	no	
rcp60	mohc_hadgem2_es	r2i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp60	mohc_hadgem2_es	r3i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp60	mohc_hadgem2_es	r4i1p1	2005-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp60	ipsl_cm5a_lr	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	ipsl_cm5a_mr	r1i1p1	no	2006-2100	no	2006-2100	no	no	ins-var
rcp60	miroc_miroc5	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	miroc_esm	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	miroc_esm_chem	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	mri_cgcm3	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	ncar_ccsm4	r4i1p1	no	no	no	no	no	no	ins-var
rcp60	ncc_noresm1_m	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp60	ncc_noresm1_me	r1i1p1	2006-2101	no	2006-2101	no	no	no	ins-var
