scenario	rcm	daily_grids	daily_asciis
baseline	echam5	1950-2009	1950-2009
baseline	hadam3p_3	1960-1990	1960-1990
baseline	hadcm3q0	1949-2009	1949-2009
baseline	hadcm3q16	1949-2009	1949-2009
baseline	hadcm3q3	1949-2009	1949-2009
baseline	ncep_r2	NA	1979-2004
baseline	echam4	1999-2006	1999-2009
sres_a1b	echam5	2010-2099	2010-2099
sres_a1b	hadcm3q0	2010-2099	2010-2099
sres_a1b	hadcm3q16	2010-2099	2010-2099
sres_a1b	hadcm3q3	2010-2099	2010-2099
sres_a2	echam4	2010-2099	2010-2099
sres_a2	hadam3p_2	2080-2100	2080-2100
sres_a2	hadam3p_3	2070-2100	2070-2100
