ICRISAT_ac,Table_name,Mission_co,Collectors,Alternate_,Local_name,Species_nu,Cultivar_n,Biological,Donor_coop,Donor_coun,Date_recei,Date_of_co,Source_cou,Province,Location,Latitude,Longitude,Elevation,Genus,Species,Sauthor,Subsp
31550,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 65,Amashirahamwe,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,,Ntaho,-4.2,29.98,0,Sorghum,bicolor,(L.) Moench,bicolor
25454,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 31,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 23SW,-4.13,29.790001,1350,Sorghum,bicolor,(L.) Moench,bicolor
25455,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 32,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 23SW,-4.13,29.790001,1350,Sorghum,bicolor,(L.) Moench,bicolor
25456,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 33,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 23SW,-4.13,29.790001,1350,Sorghum,bicolor,(L.) Moench,bicolor
25457,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 34,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 23SW,-4.13,29.790001,1350,Sorghum,bicolor,(L.) Moench,bicolor
25458,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 35,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 40SW,-4.13,29.790001,1550,Sorghum,bicolor,(L.) Moench,bicolor
25459,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 36,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 40SW,-4.13,29.790001,1550,Sorghum,bicolor,(L.) Moench,bicolor
25460,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 37,,,3560,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 40SW,-4.13,29.790001,1550,Sorghum,bicolor,(L.) Moench,bicolor
25461,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 38,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 40SW,-4.13,29.790001,1550,Sorghum,bicolor,(L.) Moench,bicolor
25462,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 39,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 41SW,-4.13,29.790001,1550,Sorghum,bicolor,(L.) Moench,bicolor
25463,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 40,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 41SW,-4.13,29.790001,1550,Sorghum,bicolor,(L.) Moench,bicolor
25464,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 41,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 41SW,-4.13,29.790001,1550,Sorghum,bicolor,(L.) Moench,bicolor
25465,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 43,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 43SW,-4.13,29.790001,1640,Sorghum,bicolor,(L.) Moench,bicolor
25466,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 44,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 43SW,-4.13,29.790001,1640,Sorghum,bicolor,(L.) Moench,bicolor
25467,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 45,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 43SW,-4.13,29.790001,1640,Sorghum,bicolor,(L.) Moench,bicolor
25468,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 46,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 43SW,-4.13,29.790001,1640,Sorghum,bicolor,(L.) Moench,bicolor
25469,ICRISATSOSORGHUM,ICRISAT-MISN-093,P 47,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi 43SW,-4.13,29.790001,1640,Sorghum,bicolor,(L.) Moench,bicolor
25490,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 29,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/24/1982,BDI,Rutana,Kiofi,-3.98,30.120001,1250,Sorghum,bicolor,(L.) Moench,bicolor
25491,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 49,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Rutana,Kiofi,-3.98,30.120001,1200,Sorghum,bicolor,(L.) Moench,bicolor
25492,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 52,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Rutana,Kiofi,-3.98,30.120001,1250,Sorghum,bicolor,(L.) Moench,bicolor
25493,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 53,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Rutana,Kiofi,-3.98,30.120001,1250,Sorghum,bicolor,(L.) Moench,bicolor
25494,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 54,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Rutana,Kiofi,-3.98,30.120001,1250,Sorghum,bicolor,(L.) Moench,bicolor
25495,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 58,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Rutana,Kiofi,-3.98,30.120001,1250,Sorghum,bicolor,(L.) Moench,bicolor
25496,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 60,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Rutana,Kiofi,-3.98,30.120001,1250,Sorghum,bicolor,(L.) Moench,bicolor
25497,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 61,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Rutana,Kiofi,-3.98,30.120001,1250,Sorghum,bicolor,(L.) Moench,bicolor
31553,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 76,Amahwera,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Rutana,Murama; Bukemba,-3.98,30.040001,0,Sorghum,bicolor,(L.) Moench,bicolor
31555,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 79,Amahwera,3565,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Rutana,Murama; Bukemba,-3.98,30.040001,0,Sorghum,bicolor,(L.) Moench,bicolor
31556,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 81,Gikore,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Rutana,Murama; Bukemba,-3.98,30.040001,0,Sorghum,bicolor,(L.) Moench,bicolor
31557,ICRISATSOSORGHUM,ICRISAT-MISN-N/A,,IZ 82,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-0318,GBR,09/30/1986,,BDI,Rutana,Murama; Bukemba,-3.98,30.040001,0,Sorghum,bicolor,(L.) Moench,bicolor
25470,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 1,,Yamahonda,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muramvya,Bugarama,-3.93,30.139999,1800,Sorghum,bicolor,(L.) Moench,bicolor
25471,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 2,,Yamahonda,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muramvya,Bugarama 70E,-3.93,30.139999,1800,Sorghum,bicolor,(L.) Moench,bicolor
25472,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 3,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/23/1982,BDI,Muramvya,Bugarama 76E,-3.93,30.139999,1700,Sorghum,bicolor,(L.) Moench,bicolor
25498,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 64,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Ruyigi,Kiharo,-3.77,30.219999,1300,Sorghum,bicolor,(L.) Moench,bicolor
25499,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 65,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Ruyigi,Kiharo,-3.77,30.219999,1300,Sorghum,bicolor,(L.) Moench,bicolor
25500,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 67,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Ruyigi,Kiharo,-3.77,30.219999,1300,Sorghum,bicolor,(L.) Moench,bicolor
25501,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 68,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Ruyigi,Kiharo,-3.77,30.219999,1300,Sorghum,bicolor,(L.) Moench,bicolor
25502,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 69,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Ruyigi,Kiharo,-3.77,30.219999,1300,Sorghum,bicolor,(L.) Moench,bicolor
25503,ICRISATSOSORGHUM,ICRISAT-MISN-093,PB 70,,,3564,,Traditional cultivar/Landrace,ICRISAT-COOP-N/A,N/A,10/19/1983,06/25/1982,BDI,Ruyigi,Kiharo,-3.77,30.219999,1300,Sorghum,bicolor,(L.) Moench,bicolor
