TYPE,SCALE,VAR,P,SEED
s,seasonal,tmean,NA,1000
s,seasonal,tmean,NA,1004
s,seasonal,tmean,NA,1012
s,seasonal,tmean,NA,1021
s,seasonal,tmean,NA,1023
s,seasonal,tmean,NA,1032
s,seasonal,tmean,NA,1033
s,seasonal,tmean,NA,1039
s,seasonal,tmean,NA,1043
s,seasonal,tmean,NA,1051
s,seasonal,tmean,NA,1065
s,seasonal,tmean,NA,1068
s,seasonal,tmean,NA,1080
s,seasonal,tmean,NA,1086
s,seasonal,tmean,NA,1094
s,seasonal,tmean,NA,1095
s,seasonal,tmean,NA,1100
s,seasonal,tmean,NA,1103
s,seasonal,tmean,NA,1118
s,seasonal,tmean,NA,113
s,seasonal,tmean,NA,1130
s,seasonal,tmean,NA,1133
s,seasonal,tmean,NA,1138
s,seasonal,tmean,NA,1139
s,seasonal,tmean,NA,114
s,seasonal,tmean,NA,1143
s,seasonal,tmean,NA,1147
s,seasonal,tmean,NA,1164
s,seasonal,tmean,NA,1174
s,seasonal,tmean,NA,1189
s,seasonal,tmean,NA,119
s,seasonal,tmean,NA,122
s,seasonal,tmean,NA,1223
s,seasonal,tmean,NA,123
s,seasonal,tmean,NA,1239
s,seasonal,tmean,NA,1251
s,seasonal,tmean,NA,1253
s,seasonal,tmean,NA,126
s,seasonal,tmean,NA,1264
s,seasonal,tmean,NA,127
s,seasonal,tmean,NA,1286
s,seasonal,tmean,NA,1293
s,seasonal,tmean,NA,1302
s,seasonal,tmean,NA,1327
s,seasonal,tmean,NA,1337
s,seasonal,tmean,NA,1345
s,seasonal,tmean,NA,1347
s,seasonal,tmean,NA,1353
s,seasonal,tmean,NA,1383
s,seasonal,tmean,NA,1403
s,seasonal,tmean,NA,141
s,seasonal,tmean,NA,1411
s,seasonal,tmean,NA,1418
s,seasonal,tmean,NA,1422
s,seasonal,tmean,NA,1425
s,seasonal,tmean,NA,1429
s,seasonal,tmean,NA,1434
s,seasonal,tmean,NA,144
s,seasonal,tmean,NA,1441
s,seasonal,tmean,NA,1457
s,seasonal,tmean,NA,1466
s,seasonal,tmean,NA,1471
s,seasonal,tmean,NA,1476
s,seasonal,tmean,NA,151
s,seasonal,tmean,NA,1512
s,seasonal,tmean,NA,1516
s,seasonal,tmean,NA,152
s,seasonal,tmean,NA,1560
s,seasonal,tmean,NA,1591
s,seasonal,tmean,NA,1609
s,seasonal,tmean,NA,1611
s,seasonal,tmean,NA,1618
s,seasonal,tmean,NA,1624
s,seasonal,tmean,NA,1641
s,seasonal,tmean,NA,1645
s,seasonal,tmean,NA,1658
s,seasonal,tmean,NA,166
s,seasonal,tmean,NA,1667
s,seasonal,tmean,NA,1677
s,seasonal,tmean,NA,1688
s,seasonal,tmean,NA,1692
s,seasonal,tmean,NA,1700
s,seasonal,tmean,NA,1728
s,seasonal,tmean,NA,1734
s,seasonal,tmean,NA,1739
s,seasonal,tmean,NA,1749
s,seasonal,tmean,NA,1750
s,seasonal,tmean,NA,1752
s,seasonal,tmean,NA,1758
s,seasonal,tmean,NA,1766
s,seasonal,tmean,NA,1782
s,seasonal,tmean,NA,1794
s,seasonal,tmean,NA,1801
s,seasonal,tmean,NA,1820
s,seasonal,tmean,NA,1823
s,seasonal,tmean,NA,1836
s,seasonal,tmean,NA,1884
s,seasonal,tmean,NA,1889
s,seasonal,tmean,NA,1891
s,seasonal,tmean,NA,1895
s,seasonal,tmean,NA,1903
s,seasonal,tmean,NA,1907
s,seasonal,tmean,NA,1908
s,seasonal,tmean,NA,192
s,seasonal,tmean,NA,1924
s,seasonal,tmean,NA,1934
s,seasonal,tmean,NA,1976
s,seasonal,tmean,NA,1982
s,seasonal,tmean,NA,1988
s,seasonal,tmean,NA,1991
s,seasonal,tmean,NA,2029
s,seasonal,tmean,NA,2032
s,seasonal,tmean,NA,2046
s,seasonal,tmean,NA,2050
s,seasonal,tmean,NA,2063
s,seasonal,tmean,NA,2097
s,seasonal,tmean,NA,21
s,seasonal,tmean,NA,2115
s,seasonal,tmean,NA,2122
s,seasonal,tmean,NA,2123
s,seasonal,tmean,NA,2138
