TYPE,VAR,SCALE,P,SEED
s,tmax,years,NA,9992
s,tmax,years,NA,9991
s,tmax,years,NA,9985
s,tmax,years,NA,9968
s,tmax,years,NA,9958
s,tmax,years,NA,995
s,tmax,years,NA,9949
s,tmax,years,NA,993
s,tmax,years,NA,9915
s,tmax,years,NA,9910
s,tmax,years,NA,9908
s,tmax,years,NA,99
s,tmax,years,NA,9897
s,tmax,years,NA,9862
s,tmax,years,NA,9859
s,tmax,years,NA,9839
s,tmax,years,NA,9833
s,tmax,years,NA,9825
s,tmax,years,NA,9809
s,tmax,years,NA,9807
s,tmax,years,NA,9806
s,tmax,years,NA,9799
s,tmax,years,NA,9788
s,tmax,years,NA,9785
s,tmax,years,NA,9766
s,tmax,years,NA,975
s,tmax,years,NA,9745
s,tmax,years,NA,9733
s,tmax,years,NA,9726
s,tmax,years,NA,9723
s,tmax,years,NA,9717
s,tmax,years,NA,9707
s,tmax,years,NA,9702
s,tmax,years,NA,9701
s,tmax,years,NA,9693
s,tmax,years,NA,9681
s,tmax,years,NA,968
s,tmax,years,NA,9675
s,tmax,years,NA,9654
s,tmax,years,NA,9641
s,tmax,years,NA,964
s,tmax,years,NA,9636
s,tmax,years,NA,9623
s,tmax,years,NA,9621
s,tmax,years,NA,962
s,tmax,years,NA,9602
s,tmax,years,NA,9601
s,tmax,years,NA,9598
s,tmax,years,NA,9592
s,tmax,years,NA,9572
s,tmax,years,NA,9561
s,tmax,years,NA,9560
s,tmax,years,NA,9556
s,tmax,years,NA,9550
s,tmax,years,NA,9544
s,tmax,years,NA,9543
s,tmax,years,NA,954
s,tmax,years,NA,9533
s,tmax,years,NA,9531
s,tmax,years,NA,9529
s,tmax,years,NA,9512
s,tmax,years,NA,9496
s,tmax,years,NA,9484
s,tmax,years,NA,9478
s,tmax,years,NA,9476
s,tmax,years,NA,9475
s,tmax,years,NA,9473
s,tmax,years,NA,9465
s,tmax,years,NA,9455
s,tmax,years,NA,944
s,tmax,years,NA,9401
s,tmax,years,NA,9399
s,tmax,years,NA,939
s,tmax,years,NA,9386
s,tmax,years,NA,9383
s,tmax,years,NA,9369
s,tmax,years,NA,9361
s,tmax,years,NA,9347
s,tmax,years,NA,9343
s,tmax,years,NA,9328
s,tmax,years,NA,932
s,tmax,years,NA,9307
s,tmax,years,NA,93
s,tmax,years,NA,9298
s,tmax,years,NA,9288
s,tmax,years,NA,927
s,tmax,years,NA,9265
s,tmax,years,NA,9247
s,tmax,years,NA,9221
s,tmax,years,NA,9202
s,tmax,years,NA,9180
s,tmax,years,NA,9167
s,tmax,years,NA,9163
s,tmax,years,NA,9152
s,tmax,years,NA,9145
s,tmax,years,NA,9133
s,tmax,years,NA,9125
s,tmax,years,NA,9116
s,tmax,years,NA,9111
s,tmax,years,NA,9110
s,tmax,years,NA,9100
s,tmax,years,NA,9098
s,tmax,years,NA,9095
s,tmax,years,NA,9087
s,tmax,years,NA,9066
s,tmax,years,NA,9063
s,tmax,years,NA,9062
s,tmax,years,NA,9059
s,tmax,years,NA,9056
s,tmax,years,NA,9048
s,tmax,years,NA,9041
s,tmax,years,NA,9039
s,tmax,years,NA,9027
s,tmax,years,NA,9020
s,tmax,years,NA,901
s,tmax,years,NA,9003
s,tmax,years,NA,9
s,tmax,years,NA,8996
s,tmax,years,NA,8992
s,tmax,years,NA,8981
s,tmax,years,NA,8974
s,tmax,years,NA,8971
s,tmax,years,NA,8966
s,tmax,years,NA,8964
s,tmax,years,NA,8948
s,tmax,years,NA,8943
s,tmax,years,NA,8937
s,tmax,years,NA,893
s,tmax,years,NA,889
s,tmax,years,NA,8885
s,tmax,years,NA,8879
s,tmax,years,NA,8870
s,tmax,years,NA,8849
s,tmax,years,NA,8848
s,tmax,years,NA,8805
s,tmax,years,NA,8801
s,tmax,years,NA,8784
s,tmax,years,NA,8782
s,tmax,years,NA,8780
s,tmax,years,NA,8778
s,tmax,years,NA,8755
s,tmax,years,NA,8753
s,tmax,years,NA,8737
s,tmax,years,NA,8731
s,tmax,years,NA,8723
s,tmax,years,NA,8696
s,tmax,years,NA,8695
s,tmax,years,NA,8653
s,tmax,years,NA,8649
s,tmax,years,NA,8639
s,tmax,years,NA,8633
s,tmax,years,NA,8631
s,tmax,years,NA,8630
s,tmax,years,NA,8607
s,tmax,years,NA,8593
s,tmax,years,NA,8583
s,tmax,years,NA,8581
s,tmax,years,NA,8579
s,tmax,years,NA,8578
s,tmax,years,NA,8559
s,tmax,years,NA,8520
s,tmax,years,NA,8511
s,tmax,years,NA,850
s,tmax,years,NA,85
s,tmax,years,NA,8495
s,tmax,years,NA,8493
s,tmax,years,NA,8457
s,tmax,years,NA,8454
s,tmax,years,NA,8449
s,tmax,years,NA,8441
s,tmax,years,NA,844
s,tmax,years,NA,8438
s,tmax,years,NA,8430
s,tmax,years,NA,8420
s,tmax,years,NA,8411
s,tmax,years,NA,84
s,tmax,years,NA,8399
s,tmax,years,NA,8391
s,tmax,years,NA,838
s,tmax,years,NA,8376
s,tmax,years,NA,8372
s,tmax,years,NA,8366
s,tmax,years,NA,8360
s,tmax,years,NA,835
s,tmax,years,NA,8347
s,tmax,years,NA,8338
s,tmax,years,NA,8328
s,tmax,years,NA,8324
s,tmax,years,NA,832
s,tmax,years,NA,830
s,tmax,years,NA,83
s,tmax,years,NA,8297
s,tmax,years,NA,8289
s,tmax,years,NA,8255
s,tmax,years,NA,8252
s,tmax,years,NA,8242
s,tmax,years,NA,824
s,tmax,years,NA,8230
s,tmax,years,NA,8198
s,tmax,years,NA,8183
s,tmax,years,NA,8181
s,tmax,years,NA,8170
s,tmax,years,NA,8148
s,tmax,years,NA,8140
s,tmax,years,NA,8105
s,tmax,years,NA,8086
s,tmax,years,NA,8080
s,tmax,years,NA,8077
s,tmax,years,NA,8064
s,tmax,years,NA,8058
s,tmax,years,NA,8055
s,tmax,years,NA,8046
s,tmax,years,NA,8040
s,tmax,years,NA,8012
s,tmax,years,NA,8002
s,tmax,years,NA,800
s,tmax,years,NA,799
s,tmax,years,NA,7981
s,tmax,years,NA,7973
s,tmax,years,NA,7960
s,tmax,years,NA,7948
s,tmax,years,NA,7945
s,tmax,years,NA,7906
s,tmax,years,NA,7891
s,tmax,years,NA,7878
s,tmax,years,NA,7871
s,tmax,years,NA,7858
s,tmax,years,NA,7846
s,tmax,years,NA,7804
s,tmax,years,NA,7800
s,tmax,years,NA,78
s,tmax,years,NA,7785
s,tmax,years,NA,7778
s,tmax,years,NA,7764
s,tmax,years,NA,7760
s,tmax,years,NA,7745
s,tmax,years,NA,7728
s,tmax,years,NA,7699
s,tmax,years,NA,7698
s,tmax,years,NA,7695
s,tmax,years,NA,7691
s,tmax,years,NA,7680
s,tmax,years,NA,7679
s,tmax,years,NA,7674
s,tmax,years,NA,7660
